Directory,勘誤,勘誤備註說明,序號,縣市 County,縣市及鄉鎮市區 County and Area,村里 Village,預計收容村里 Service Area,避難收容處所地址 Address,避難收容處所名稱 Shelter Name,適用災害類別 Disaster Categories,適合避難弱者安置 Shelter for Vulnerable People,室內 Indoor,室外 Outdoor,預計收容人數 Capacity,緯度,經度,管理人姓名,管理人電話,經緯度
Tooltip - Hidden,CategoryFilter,NoFilter,StringFilter,CategoryFilter,CategoryFilter,StringFilter,StringFilter,StringFilter,StringFilter,CSVFilter,CategoryFilter,CategoryFilter,CategoryFilter,NumberRangeFilter ,NoFilter - Latitude - Hidden,NoFilter - Longitude - Hidden,Hidden,Hidden,NoFilter - Hidden
,[完成勘誤] 位置有誤,"且沒填寫村里
大隘村
五峰鄉大隘村06鄰95號2樓
經緯度建議：E 121.1194 N 24.6320",1,新竹縣,新竹縣,,大隘村、花園村、桃山村、竹林村,,五峰活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide",是 Shelter for Vulnerable People,室內 Indoor,否,110,24.386,121.073,張兒,03-5851001,"24.386,121.073"
,,,2,金門縣,金門縣烈嶼鄉,林湖村,林湖村,東林24號,金門縣烈嶼鄉林湖村辦公處,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",是 Shelter for Vulnerable People,室內 Indoor,否,30,24.428328,118.248571,林妙玲,082-364503,"24.428328,118.248571"
,,,3,新竹縣,新竹縣北埔鄉,南坑村,南坑村、外坪村,9鄰大南坑1-5號,南坑村集會所暨南外社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide",否 No,否,否,20,24.6725,121.0561,葉貴霖,03-5805355,"24.6725,121.0561"
,[完成勘誤] 位置有誤,"* 沒有說明適用哪些災害類別
* 正確經緯度：24.9829713,119.4733439
* 沒有地址",4,金門縣,金門縣烏坵鄉,小坵村,小坵村,無門牌號碼,烏坵鄉小坵村活動中心,,否 No,否,否,20,24.98,119.47,莊金輝,82666056,"24.98,119.47"
,沒有說明適用哪些災害類別,,5,金門縣,金門縣烏坵鄉,大坵村,烏坵鄉大坵村,1號,金門縣烏坵鄉公所大廳,,否 No,否,否,30,24.988739,119.453178,林文彩,0826-66056,"24.988739,119.453178"
,[完成勘誤] 位置有誤,"似乎停止營業並變成派出所了：24.81676698427944, 121.38402923679091",6,桃園市,桃園市復興區,霞雲里,霞雲里,6鄰22-1號,霞雲社區活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,36,24.814018,121.406238,呂品秀,03-3821500#124,"24.814018,121.406238"
,,,7,桃園市,桃園市復興區,澤仁里,澤仁里,14鄰中正路168之1號,澤仁里辦公處,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,40,24.820601,121.351987,呂品秀,03-3821500#124,"24.820601,121.351987"
,,,8,桃園市,桃園市復興區,奎輝里,奎輝里,3鄰羅馬路3段355號,奎輝里活動中心,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,50,24.797047,121.334302,呂品秀,03-3821500#124,"24.797047,121.334302"
,,,9,桃園市,桃園市復興區,高義里,高義里,6鄰48號,高義教會,"水災-Flooding,地震-Earthquake,土石流-Landslide,海嘯-Tsunami",否 No,室內 Indoor,否,61,24.706112,121.354462,呂品秀,03-3821500#124,"24.706112,121.354462"
